a,b,c,d
-0.999192305,0.002455888,7.22E-07,3.74E-10
-0.99479598,0.00634088,1.87E-06,6.46E-09
-0.98651568,0.010213016,2.99E-06,2.70E-08
-0.974381073,0.014045939,4.07E-06,7.02E-08
-0.958439288,0.017824103,5.07E-06,1.43E-07
-0.93875255,0.021532655,6.00E-06,2.53E-07
-0.915397762,0.025157084,6.84E-06,4.03E-07
-0.888466172,0.02868322,7.57E-06,5.98E-07
-0.858063009,0.032097282,8.18E-06,8.38E-07
-0.824307067,0.035385929,8.66E-06,1.12E-06
-0.787330242,0.038536311,9.01E-06,1.45E-06
-0.747277016,0.041536117,9.22E-06,1.82E-06
-0.704303893,0.044373626,9.28E-06,2.21E-06
-0.658578785,0.04703775,9.20E-06,2.64E-06
-0.610280356,0.04951808,8.98E-06,3.08E-06
-0.559597328,0.051804924,8.61E-06,3.52E-06
-0.506727739,0.053889346,8.11E-06,3.97E-06
-0.451878169,0.055763202,7.49E-06,4.39E-06
-0.395262938,0.057419169,6.74E-06,4.80E-06
-0.337103263,0.058850778,5.89E-06,5.16E-06
-0.277626395,0.060052434,4.95E-06,5.49E-06
-0.217064735,0.061019443,3.93E-06,5.76E-06
-0.15565492,0.061748025,2.86E-06,5.97E-06
-0.0936369,0.062235333,1.73E-06,6.11E-06
-0.031253006,0.062479465,5.80E-07,6.18E-06
0.031253006,0.062479465,-5.80E-07,6.18E-06
0.0936369,0.062235333,-1.73E-06,6.11E-06
0.15565492,0.061748025,-2.86E-06,5.97E-06
0.217064735,0.061019443,-3.93E-06,5.76E-06
0.277626395,0.060052434,-4.95E-06,5.49E-06
0.337103263,0.058850778,-5.89E-06,5.16E-06
0.395262938,0.057419169,-6.74E-06,4.80E-06
0.451878169,0.055763202,-7.49E-06,4.39E-06
0.506727739,0.053889346,-8.11E-06,3.97E-06
0.559597328,0.051804924,-8.61E-06,3.52E-06
0.610280356,0.04951808,-8.98E-06,3.08E-06
0.658578785,0.04703775,-9.20E-06,2.64E-06
0.704303893,0.044373626,-9.28E-06,2.21E-06
0.747277016,0.041536117,-9.22E-06,1.82E-06
0.787330242,0.038536311,-9.01E-06,1.45E-06
0.824307067,0.035385929,-8.66E-06,1.12E-06
0.858063009,0.032097282,-8.18E-06,8.38E-07
0.888466172,0.02868322,-7.57E-06,5.98E-07
0.915397762,0.025157084,-6.84E-06,4.03E-07
0.93875255,0.021532655,-6.00E-06,2.53E-07
0.958439288,0.017824103,-5.07E-06,1.43E-07
0.974381073,0.014045939,-4.07E-06,7.02E-08
0.98651568,0.010213016,-2.99E-06,2.70E-08
0.99479598,0.00634088,-1.87E-06,6.46E-09
0.999192305,0.002455888,-7.22E-07,3.74E-10
